#,name,voteType,id,code,url
149,EU Supervision of the Rule of Law,,,,
150,EU support for bioeconomic applications,,,,
151,EU support for cultural and creative sector,,,,
152,EU support for traditional (non-digital) media,,,,
153,EU support of rail transport,,,,
154,EU taxation policy  (political compass),,,,
155,EU transport infrastructure integration,,,,
156,EU volunteering programs,,,,
157,EU-Albania relations,,,,
158,EU-Algeria relations,,,,
159,EU-Angola relations,,,,
160,EU-Armenia relations,,,,
161,EU-Brazil relations,,,,
162,EU-Cameroon relations,,,,
163,EU-China relations,,,,
164,EU-Congo (DRC) relations,,,,
165,EU-Cuba relations,,,,
166,EU-Egypt relations,,,,
167,EU-Georgia relations,,,,
168,EU-India relations,,,,
169,EU-Iran relations,,,,
170,EU-Jordan relations,,,,
171,EU-Kosovo relations,,,,
172,EU-Kyrgyzstan relations,,,,
173,EU-Lebanon relations,,,,
174,EU-Moldova relations,,,,
175,EU-Niue relations,,,,
176,EU-Norway relations,,,,
177,EU-Philippines relations,,,,
178,EU-Rwanda relations,,,,
179,EU-Saudi Arabia relations,,,,
180,EU-Serbia relations,,,,
181,EU-Switzerland relations,,,,
182,EU-Syria relations,,,,
183,EU-Thailand relations,,,,
184,EU-Tonga relations,,,,
185,EU-Tunisia relations,,,,
186,EU-Turkey relations,,,,
187,EU-Tuvalu relations,,,,
188,EU-UK relations,,,,
189,EU-Ukraine relations,,,,
190,EU-US relations,,,,
191,EU-US trade relations,,,,
192,EU-Vanuatu relations,,,,
193,EU-Venezuela relations,,,,
194,European Deposit Insurance Scheme,,,,
195,European Globalisation Adjustment Fund,,,,
196,European Semester (social dimension),,,,
197,EV charging infrastructure,,,,
198,Export of EU agri-food products,,,,
199,Extension of the EU Emissions Trading Scheme,,,,
200,F-gases regulation,,,,
201,Fisheries access for developing countries,,,,
202,Flexibility for 2030 CO2 Targets for Cars,,,,
203,Foreign interference in Europe,,,,
204,Fossil fuels,,,,
205,Free Trade Agreements (FTAs),,,,
206,Funding for EU Neighbourhood,,,,
207,Funding for fisheries and aquaculture,,,,
208,Funding for OCTs and outermost regions,,,,
209,GDPR,,,,
210,Gender pay transparency,,,,
211,"Gender roles, equality and inclusion",,,,
